sale_id,customer_id,employee_id,product,category,amount,sale_date,payment_method
1,5,3,Wireless Mouse,Electronics,29.99,2023-04-12 10:15:00,Credit Card
2,12,7,Gaming Keyboard,Electronics,89.99,2023-04-13 11:25:30,Cash
3,23,15,Running Shoes,Sports,120.00,2023-04-13 12:05:45,Credit Card
4,8,21,Coffee Maker,Home Appliances,79.99,2023-04-14 09:45:10,Debit Card
5,45,33,Office Chair,Furniture,199.99,2023-04-15 14:30:25,Credit Card
6,39,42,Bluetooth Speaker,Electronics,59.99,2023-04-16 15:10:50,Credit Card
7,60,50,Electric Kettle,Home Appliances,39.99,2023-04-16 16:45:00,Cash
8,55,12,Yoga Mat,Sports,25.00,2023-04-17 08:20:15,Debit Card
9,30,19,LED Monitor,Electronics,150.00,2023-04-17 09:55:30,Credit Card
10,42,23,Smartphone,Electronics,699.99,2023-04-18 10:10:45,Credit Card
11,18,35,Water Bottle,Sports,15.00,2023-04-18 11:30:20,Cash
12,14,27,Desk Lamp,Furniture,45.99,2023-04-19 12:40:35,Debit Card
13,9,8,Noise Cancelling Headphones,Electronics,129.99,2023-04-20 13:55:50,Credit Card
14,37,16,Backpack,Fashion,49.99,2023-04-21 14:20:10,Cash
15,21,6,Treadmill,Sports,499.99,2023-04-21 15:30:25,Credit Card
16,52,25,Smartwatch,Electronics,199.99,2023-04-22 16:40:40,Debit Card
17,33,13,Coffee Grinder,Home Appliances,89.99,2023-04-23 10:10:05,Credit Card
18,44,29,Sofa,Furniture,799.99,2023-04-23 11:55:30,Credit Card
19,25,40,Running Shorts,Sports,35.00,2023-04-24 12:20:45,Cash
20,47,44,Wireless Charger,Electronics,29.99,2023-04-25 13:30:00,Debit Card
21,3,5,Electric Toothbrush,Home Appliances,49.99,2023-04-26 09:15:20,Credit Card
22,10,9,Leather Wallet,Fashion,39.99,2023-04-26 10:05:30,Cash
23,28,11,Smart TV,Electronics,999.99,2023-04-27 11:45:10,Debit Card
24,31,14,Yoga Pants,Sports,45.00,2023-04-28 12:30:50,Credit Card
25,15,18,Blender,Home Appliances,59.99,2023-04-28 13:40:00,Credit Card
26,6,22,Running Shoes,Sports,120.00,2023-04-29 14:50:15,Cash
27,50,24,Cotton T-shirt,Fashion,19.99,2023-04-29 15:30:45,Debit Card
28,11,28,Desk Organizer,Furniture,25.99,2023-04-30 08:25:35,Credit Card
29,7,32,Wireless Earbuds,Electronics,79.99,2023-04-30 09:45:20,Credit Card
30,49,36,Office Desk,Furniture,299.99,2023-05-01 10:55:40,Credit Card
31,17,38,Waterproof Jacket,Fashion,89.99,2023-05-01 11:40:10,Cash
32,24,41,Espresso Machine,Home Appliances,349.99,2023-05-02 12:50:55,Credit Card
33,22,43,Football,Sports,25.00,2023-05-03 13:20:30,Cash
34,13,46,LED Desk Lamp,Home Appliances,35.99,2023-05-04 14:10:15,Debit Card
